"timeMillisSpent","score"
1532,"-86hard/-62531soft"
1896,"-84hard/-62824soft"
1949,"-84hard/-62787soft"
2000,"-80hard/-62811soft"
2047,"-78hard/-63162soft"
2138,"-77hard/-63530soft"
2193,"-75hard/-63835soft"
2250,"-73hard/-64238soft"
2339,"-72hard/-64338soft"
2492,"-70hard/-64717soft"
2537,"-70hard/-64373soft"
2583,"-70hard/-64327soft"
2626,"-69hard/-64423soft"
2675,"-68hard/-64887soft"
2771,"-68hard/-64856soft"
2815,"-67hard/-65158soft"
2859,"-65hard/-65881soft"
3005,"-64hard/-66277soft"
3048,"-64hard/-65896soft"
3091,"-63hard/-65820soft"
3205,"-63hard/-65819soft"
3253,"-61hard/-66071soft"
3539,"-60hard/-66642soft"
3582,"-59hard/-67035soft"
3625,"-57hard/-67076soft"
3676,"-57hard/-66569soft"
3724,"-57hard/-66527soft"
3766,"-57hard/-66516soft"
3808,"-55hard/-66490soft"
3854,"-54hard/-66481soft"
3905,"-54hard/-66307soft"
3950,"-54hard/-66282soft"
3993,"-53hard/-66729soft"
4035,"-53hard/-66291soft"
4297,"-52hard/-66511soft"
4343,"-50hard/-67096soft"
4391,"-49hard/-67098soft"
4483,"-48hard/-67251soft"
4529,"-48hard/-67181soft"
4577,"-47hard/-67131soft"
4622,"-44hard/-67297soft"
4668,"-43hard/-67318soft"
4717,"-37hard/-67450soft"
4761,"-36hard/-67461soft"
4984,"-35hard/-67681soft"
5037,"-34hard/-68089soft"
5081,"-34hard/-68039soft"
5129,"-32hard/-68083soft"
5170,"-32hard/-68002soft"
5216,"-31hard/-68089soft"
5270,"-31hard/-68019soft"
5333,"-31hard/-67963soft"
5474,"-29hard/-68041soft"
5523,"-29hard/-67935soft"
5709,"-29hard/-67705soft"
5762,"-29hard/-67673soft"
5806,"-29hard/-67297soft"
9290,"-27hard/-67341soft"
9340,"-25hard/-67453soft"
9428,"-25hard/-67436soft"
9562,"-24hard/-67592soft"
9608,"-24hard/-67502soft"
9653,"-24hard/-67488soft"
9698,"-23hard/-67592soft"
9955,"-22hard/-68949soft"
10000,"-22hard/-68934soft"
