"timeMillisSpent","score"
96,"-19hard/-15948soft"
157,"-19hard/-15940soft"
184,"-19hard/-15932soft"
187,"-19hard/-15916soft"
297,"-19hard/-15911soft"
404,"-17hard/-16596soft"
1251,"-16hard/-17953soft"
1336,"-15hard/-18649soft"
1339,"-15hard/-18491soft"
1340,"-12hard/-18637soft"
3592,"-12hard/-18391soft"
3595,"-12hard/-18278soft"
3599,"-12hard/-18248soft"
5533,"-11hard/-18912soft"
5534,"-11hard/-18852soft"
5540,"-11hard/-18524soft"
7253,"-10hard/-17705soft"
7258,"-10hard/-17612soft"
8280,"-8hard/-18509soft"
9971,"-6hard/-19102soft"
