"timeMillisSpent","score"
127,"-29hard/-5173soft"
330,"-28hard/-5668soft"
355,"-28hard/-5644soft"
380,"-27hard/-5636soft"
563,"-27hard/-5632soft"
581,"-24hard/-5642soft"
601,"-24hard/-5641soft"
621,"-22hard/-5632soft"
640,"-21hard/-5960soft"
695,"-19hard/-5971soft"
716,"-19hard/-5956soft"
736,"-19hard/-5954soft"
755,"-19hard/-5952soft"
775,"-19hard/-5946soft"
794,"-19hard/-5939soft"
812,"-19hard/-5933soft"
835,"-19hard/-5928soft"
1077,"-18hard/-5963soft"
1099,"-18hard/-5955soft"
1117,"-18hard/-5952soft"
1136,"-18hard/-5939soft"
1154,"-18hard/-5937soft"
1174,"-18hard/-5934soft"
1267,"-15hard/-5937soft"
1286,"-15hard/-5934soft"
1304,"-15hard/-5933soft"
1415,"-15hard/-5787soft"
1434,"-15hard/-5783soft"
1472,"-15hard/-5781soft"
1492,"-15hard/-5772soft"
1515,"-15hard/-5756soft"
1551,"-15hard/-5754soft"
1569,"-14hard/-5759soft"
1587,"-14hard/-5758soft"
2680,"-13hard/-6133soft"
2699,"-13hard/-6132soft"
2718,"-13hard/-6131soft"
2737,"-13hard/-6129soft"
2885,"-13hard/-6126soft"
2991,"-11hard/-6437soft"
3029,"-11hard/-6428soft"
3047,"-11hard/-6424soft"
3066,"-11hard/-6143soft"
3084,"-11hard/-6142soft"
3103,"-11hard/-6140soft"
3121,"-11hard/-6139soft"
3139,"-11hard/-6129soft"
3211,"-11hard/-5968soft"
3247,"-11hard/-5965soft"
3266,"-10hard/-5962soft"
3285,"-10hard/-5959soft"
3305,"-10hard/-5957soft"
3341,"-10hard/-5956soft"
3358,"-10hard/-5953soft"
3376,"-10hard/-5940soft"
3429,"-10hard/-5934soft"
3449,"-10hard/-5930soft"
3467,"-10hard/-5922soft"
3487,"-10hard/-5919soft"
3524,"-10hard/-5918soft"
3743,"-10hard/-5916soft"
3761,"-10hard/-5914soft"
3779,"-10hard/-5910soft"
3797,"-10hard/-5905soft"
3815,"-10hard/-5904soft"
4096,"-9hard/-6107soft"
4229,"-9hard/-6104soft"
4714,"-9hard/-6092soft"
4768,"-9hard/-6088soft"
4841,"-8hard/-6109soft"
4861,"-8hard/-6098soft"
4880,"-8hard/-6090soft"
5027,"-7hard/-6324soft"
5043,"-6hard/-6325soft"
5329,"-6hard/-6321soft"
5477,"-5hard/-6343soft"
5845,"-5hard/-6202soft"
5882,"-5hard/-6189soft"
7246,"-3hard/-6635soft"
7264,"-3hard/-6634soft"
7283,"-3hard/-6630soft"
7320,"-2hard/-6633soft"
7340,"-1hard/-6636soft"
7359,"-1hard/-6632soft"
8924,"-1hard/-6506soft"
9106,"-1hard/-6502soft"
9140,"-1hard/-6501soft"
9194,"-1hard/-6500soft"
9314,"-1hard/-6483soft"
9331,"-1hard/-6478soft"
9349,"-1hard/-6474soft"
9367,"-1hard/-6459soft"
9385,"-1hard/-6453soft"
