"timeMillisSpent","score"
364,"-58hard/-10335soft"
406,"-57hard/-10338soft"
654,"-56hard/-10692soft"
696,"-55hard/-10689soft"
735,"-55hard/-10688soft"
744,"-54hard/-10686soft"
776,"-51hard/-10669soft"
795,"-51hard/-10661soft"
840,"-50hard/-10657soft"
898,"-49hard/-10669soft"
992,"-48hard/-10672soft"
1091,"-47hard/-10671soft"
1163,"-47hard/-10669soft"
1210,"-47hard/-10667soft"
1539,"-46hard/-10842soft"
1721,"-46hard/-10824soft"
1740,"-44hard/-11128soft"
1785,"-40hard/-11129soft"
1827,"-40hard/-11127soft"
1849,"-38hard/-11534soft"
1889,"-38hard/-11528soft"
1937,"-38hard/-11523soft"
1978,"-38hard/-11516soft"
2016,"-37hard/-11521soft"
2071,"-36hard/-11528soft"
2084,"-33hard/-11528soft"
2101,"-32hard/-12010soft"
2236,"-32hard/-12008soft"
2257,"-32hard/-12000soft"
2306,"-32hard/-11995soft"
2404,"-32hard/-11986soft"
2463,"-32hard/-11983soft"
2556,"-32hard/-11979soft"
2601,"-31hard/-11982soft"
2696,"-31hard/-11977soft"
2752,"-26hard/-11982soft"
2789,"-26hard/-11886soft"
2813,"-26hard/-11881soft"
2834,"-26hard/-11879soft"
2848,"-26hard/-11878soft"
2942,"-26hard/-11874soft"
2982,"-25hard/-11871soft"
2997,"-25hard/-11868soft"
3097,"-24hard/-11870soft"
3333,"-24hard/-11851soft"
3394,"-24hard/-11846soft"
3499,"-23hard/-11868soft"
3552,"-23hard/-11856soft"
3590,"-23hard/-11855soft"
3634,"-23hard/-11843soft"
3659,"-23hard/-11838soft"
3743,"-23hard/-11826soft"
4016,"-20hard/-11854soft"
4085,"-20hard/-11852soft"
4201,"-19hard/-11865soft"
4214,"-19hard/-11864soft"
4283,"-19hard/-11848soft"
4300,"-18hard/-12155soft"
4313,"-18hard/-12153soft"
4433,"-18hard/-11852soft"
4481,"-18hard/-11850soft"
4506,"-18hard/-11849soft"
5115,"-18hard/-11846soft"
5139,"-18hard/-11844soft"
5224,"-18hard/-11835soft"
5338,"-18hard/-11826soft"
5364,"-18hard/-11825soft"
5417,"-18hard/-11824soft"
5453,"-18hard/-11823soft"
5649,"-18hard/-11821soft"
5682,"-18hard/-11814soft"
6015,"-18hard/-11813soft"
6053,"-18hard/-11811soft"
6583,"-18hard/-11805soft"
6604,"-17hard/-11808soft"
6652,"-17hard/-11806soft"
6699,"-16hard/-11817soft"
6917,"-15hard/-11826soft"
6953,"-15hard/-11817soft"
7107,"-15hard/-11815soft"
7213,"-15hard/-11812soft"
7259,"-15hard/-11806soft"
7274,"-15hard/-11805soft"
7370,"-15hard/-11804soft"
7398,"-15hard/-11802soft"
7405,"-15hard/-11801soft"
7490,"-15hard/-11800soft"
7833,"-15hard/-11787soft"
7950,"-15hard/-11786soft"
8230,"-15hard/-11783soft"
8281,"-15hard/-11782soft"
8329,"-15hard/-11778soft"
8660,"-15hard/-11776soft"
9128,"-15hard/-11775soft"
9306,"-15hard/-11769soft"
9361,"-15hard/-11768soft"
9413,"-15hard/-11766soft"
