"timeMillisSpent","score"
1424,"-107hard/-19397soft"
1696,"-105hard/-19696soft"
1792,"-104hard/-19702soft"
1898,"-99hard/-20026soft"
1979,"-98hard/-20330soft"
2164,"-96hard/-20324soft"
2402,"-95hard/-20325soft"
2536,"-94hard/-20353soft"
2675,"-92hard/-20334soft"
2778,"-91hard/-20338soft"
2830,"-90hard/-20806soft"
2919,"-90hard/-20799soft"
2993,"-89hard/-20790soft"
3040,"-88hard/-21107soft"
3104,"-88hard/-21095soft"
3166,"-85hard/-21099soft"
3266,"-84hard/-21096soft"
3405,"-84hard/-21082soft"
3468,"-82hard/-21080soft"
3547,"-81hard/-21084soft"
3620,"-81hard/-20771soft"
3717,"-79hard/-20930soft"
3881,"-78hard/-21235soft"
3925,"-78hard/-21093soft"
4010,"-78hard/-21092soft"
4090,"-78hard/-21088soft"
4605,"-75hard/-21090soft"
4770,"-73hard/-21094soft"
4820,"-72hard/-21399soft"
5092,"-70hard/-21405soft"
5215,"-69hard/-21403soft"
5269,"-69hard/-21400soft"
5322,"-69hard/-21392soft"
5643,"-68hard/-21699soft"
5753,"-65hard/-21705soft"
5803,"-65hard/-21704soft"
5868,"-65hard/-21398soft"
6048,"-65hard/-21395soft"
6327,"-64hard/-21385soft"
6487,"-64hard/-21384soft"
6571,"-64hard/-21382soft"
6794,"-63hard/-21713soft"
6961,"-63hard/-21396soft"
7228,"-63hard/-21394soft"
7323,"-62hard/-21716soft"
7480,"-60hard/-21716soft"
7552,"-60hard/-21713soft"
7641,"-56hard/-22011soft"
7735,"-56hard/-22007soft"
8050,"-56hard/-22006soft"
8080,"-56hard/-22003soft"
8229,"-54hard/-22329soft"
8323,"-53hard/-22327soft"
8409,"-51hard/-22332soft"
8573,"-48hard/-22360soft"
8826,"-48hard/-22355soft"
8939,"-47hard/-22360soft"
9109,"-47hard/-22347soft"
9341,"-46hard/-22648soft"
9434,"-46hard/-22646soft"
9569,"-46hard/-22329soft"
9800,"-46hard/-22326soft"
9923,"-46hard/-22321soft"
