"timeMillisSpent","score"
351,"-46hard/-10877soft"
476,"-45hard/-11187soft"
651,"-45hard/-11186soft"
763,"-45hard/-11185soft"
800,"-43hard/-11499soft"
929,"-43hard/-11482soft"
1021,"-43hard/-11481soft"
1099,"-42hard/-11483soft"
1153,"-42hard/-11466soft"
1191,"-41hard/-11446soft"
1263,"-39hard/-11450soft"
1324,"-39hard/-11449soft"
1376,"-39hard/-11448soft"
1395,"-35hard/-11783soft"
1535,"-35hard/-11465soft"
1606,"-35hard/-11463soft"
1712,"-35hard/-11444soft"
1730,"-34hard/-11445soft"
1827,"-34hard/-11439soft"
1959,"-34hard/-11435soft"
2015,"-33hard/-11438soft"
2221,"-32hard/-11470soft"
2273,"-31hard/-11467soft"
2365,"-30hard/-11471soft"
2670,"-29hard/-11798soft"
2710,"-29hard/-11793soft"
2779,"-29hard/-11782soft"
2829,"-29hard/-11779soft"
2900,"-29hard/-11773soft"
2958,"-29hard/-11771soft"
3031,"-26hard/-12100soft"
3204,"-26hard/-11782soft"
3304,"-26hard/-11774soft"
3325,"-26hard/-11768soft"
3411,"-26hard/-11762soft"
3458,"-26hard/-11738soft"
3482,"-26hard/-11736soft"
3539,"-26hard/-11733soft"
3613,"-26hard/-11722soft"
3684,"-25hard/-11745soft"
3787,"-24hard/-11746soft"
3818,"-24hard/-11743soft"
3847,"-24hard/-11737soft"
3901,"-23hard/-11741soft"
3959,"-23hard/-11739soft"
4935,"-23hard/-11737soft"
5013,"-23hard/-11733soft"
5054,"-21hard/-11880soft"
5117,"-21hard/-11871soft"
6135,"-20hard/-12211soft"
6306,"-20hard/-11893soft"
6501,"-18hard/-11890soft"
6545,"-18hard/-11889soft"
6930,"-16hard/-11894soft"
7071,"-14hard/-12194soft"
7309,"-14hard/-12192soft"
7455,"-14hard/-12189soft"
7529,"-14hard/-12188soft"
7608,"-14hard/-12184soft"
7681,"-13hard/-12514soft"
7778,"-13hard/-12508soft"
7856,"-13hard/-12502soft"
8026,"-13hard/-12500soft"
8085,"-11hard/-12504soft"
8153,"-11hard/-12490soft"
8247,"-11hard/-12178soft"
8414,"-11hard/-12177soft"
8517,"-11hard/-12176soft"
8558,"-11hard/-12174soft"
8699,"-11hard/-12172soft"
8989,"-10hard/-12175soft"
9086,"-10hard/-12165soft"
9137,"-10hard/-12158soft"
9220,"-10hard/-12155soft"
9485,"-10hard/-12134soft"
9700,"-10hard/-12130soft"
9777,"-10hard/-12129soft"
9924,"-10hard/-12128soft"
