"timeMillisSpent","score"
1330,"-95hard/-19945soft"
3691,"-92hard/-21326soft"
3899,"-90hard/-21361soft"
3945,"-86hard/-21685soft"
3989,"-86hard/-21672soft"
4033,"-86hard/-21671soft"
4170,"-84hard/-21983soft"
4213,"-84hard/-21967soft"
4307,"-84hard/-21657soft"
4617,"-82hard/-21595soft"
4660,"-82hard/-21294soft"
4704,"-82hard/-21275soft"
4749,"-81hard/-21259soft"
4795,"-81hard/-21256soft"
4839,"-80hard/-21572soft"
4883,"-78hard/-21564soft"
4973,"-78hard/-21561soft"
5065,"-78hard/-21559soft"
5110,"-77hard/-21584soft"
5153,"-77hard/-21579soft"
5200,"-77hard/-21578soft"
5244,"-77hard/-21577soft"
5328,"-76hard/-21570soft"
5507,"-75hard/-21582soft"
5550,"-75hard/-21581soft"
6751,"-73hard/-21290soft"
6793,"-73hard/-21282soft"
7018,"-70hard/-21309soft"
7061,"-70hard/-21305soft"
7147,"-69hard/-21292soft"
7193,"-66hard/-21285soft"
7237,"-65hard/-21284soft"
7327,"-64hard/-21279soft"
7416,"-63hard/-21290soft"
7459,"-61hard/-21292soft"
7549,"-61hard/-21288soft"
7593,"-61hard/-21267soft"
7636,"-61hard/-21266soft"
7680,"-61hard/-21262soft"
7722,"-60hard/-21263soft"
7811,"-59hard/-21263soft"
7855,"-59hard/-21256soft"
7897,"-59hard/-21249soft"
7940,"-59hard/-21239soft"
7984,"-56hard/-21449soft"
8971,"-55hard/-22101soft"
9015,"-55hard/-22099soft"
9061,"-54hard/-22089soft"
9187,"-53hard/-22093soft"
9231,"-53hard/-22080soft"
9272,"-53hard/-22074soft"
9313,"-53hard/-22069soft"
9355,"-53hard/-22067soft"
9403,"-52hard/-22073soft"
9447,"-51hard/-22079soft"
9527,"-51hard/-22078soft"
9571,"-51hard/-22077soft"
9656,"-49hard/-22069soft"
9697,"-49hard/-22067soft"
9779,"-49hard/-22059soft"
9820,"-49hard/-22054soft"
9864,"-49hard/-21749soft"
9905,"-49hard/-21744soft"
9945,"-48hard/-21740soft"
