"timeMillisSpent","score"
25,"-6hard/-2697soft"
289,"-4hard/-2991soft"
300,"-4hard/-2694soft"
313,"-4hard/-2692soft"
324,"-4hard/-2691soft"
331,"-4hard/-2690soft"
338,"-4hard/-2685soft"
384,"-4hard/-2684soft"
392,"-3hard/-2985soft"
475,"-1hard/-2990soft"
485,"-1hard/-2988soft"
545,"-1hard/-2986soft"
583,"-1hard/-2985soft"
589,"-1hard/-2984soft"
598,"-1hard/-2983soft"
713,"-1hard/-2981soft"
773,"-1hard/-2977soft"
851,"-1hard/-2974soft"
893,"-1hard/-2968soft"
901,"-1hard/-2967soft"
935,"-1hard/-2966soft"
1167,"0hard/-3300soft"
1194,"0hard/-3299soft"
1217,"0hard/-3295soft"
1222,"0hard/-3288soft"
1259,"0hard/-3286soft"
1289,"0hard/-3284soft"
1380,"0hard/-3282soft"
1400,"0hard/-3280soft"
1478,"0hard/-2978soft"
1500,"0hard/-2975soft"
1538,"0hard/-2967soft"
1629,"0hard/-2966soft"
1631,"0hard/-2964soft"
1640,"0hard/-2963soft"
1741,"0hard/-2962soft"
1773,"0hard/-2959soft"
1796,"0hard/-2957soft"
1837,"0hard/-2950soft"
1855,"0hard/-2945soft"
4434,"0hard/-2943soft"
4442,"0hard/-2939soft"
4658,"0hard/-2938soft"
5996,"0hard/-2936soft"
6626,"0hard/-2935soft"
7879,"0hard/-2934soft"
8478,"0hard/-2933soft"
8499,"0hard/-2931soft"
8956,"0hard/-2927soft"
8961,"0hard/-2925soft"
