"timeMillisSpent","score"
86,"-39hard/-5081soft"
140,"-39hard/-5073soft"
159,"-38hard/-5068soft"
771,"-36hard/-5846soft"
788,"-36hard/-5844soft"
811,"-36hard/-5833soft"
813,"-36hard/-5830soft"
826,"-36hard/-5809soft"
856,"-35hard/-5812soft"
1138,"-34hard/-6255soft"
1140,"-34hard/-6253soft"
1145,"-34hard/-6246soft"
2142,"-33hard/-6511soft"
2543,"-32hard/-7352soft"
2546,"-32hard/-7337soft"
2563,"-32hard/-6996soft"
2738,"-31hard/-7207soft"
2743,"-31hard/-7202soft"
2747,"-31hard/-7201soft"
3671,"-31hard/-6877soft"
4198,"-30hard/-6919soft"
5306,"-30hard/-6624soft"
5314,"-28hard/-6635soft"
5323,"-28hard/-6633soft"
5326,"-27hard/-6626soft"
7691,"-24hard/-6568soft"
7695,"-24hard/-6566soft"
