"timeMillisSpent","score"
87,"-20hard/-6026soft"
120,"-19hard/-6348soft"
133,"-18hard/-6467soft"
144,"-18hard/-6453soft"
194,"-18hard/-6449soft"
199,"-18hard/-6448soft"
211,"-17hard/-6613soft"
322,"-16hard/-6736soft"
323,"-15hard/-6738soft"
327,"-15hard/-6731soft"
328,"-15hard/-6714soft"
343,"-15hard/-6412soft"
344,"-15hard/-6399soft"
2232,"-15hard/-6218soft"
2237,"-15hard/-6194soft"
2791,"-14hard/-6575soft"
2867,"-14hard/-6569soft"
3105,"-14hard/-6367soft"
3150,"-13hard/-6292soft"
3841,"-12hard/-7081soft"
6246,"-12hard/-6488soft"
7727,"-11hard/-6995soft"
8382,"-10hard/-7028soft"
8392,"-10hard/-7015soft"
8482,"-10hard/-6668soft"
8488,"-10hard/-6665soft"
9949,"-10hard/-6519soft"
9950,"-7hard/-6525soft"
