"timeMillisSpent","score"
1541,"-73hard/-21256soft"
1681,"-71hard/-21558soft"
1752,"-70hard/-21863soft"
1825,"-70hard/-21861soft"
1947,"-69hard/-21892soft"
1989,"-69hard/-21891soft"
2146,"-69hard/-21887soft"
2253,"-66hard/-21877soft"
2493,"-65hard/-22179soft"
2756,"-64hard/-22182soft"
3273,"-63hard/-22503soft"
3402,"-63hard/-22495soft"
3672,"-63hard/-22193soft"
4141,"-61hard/-22189soft"
4338,"-60hard/-22192soft"
4400,"-60hard/-22187soft"
4449,"-60hard/-22185soft"
4481,"-60hard/-22181soft"
4710,"-60hard/-22180soft"
4749,"-60hard/-22176soft"
4849,"-59hard/-22197soft"
5035,"-59hard/-22196soft"
5150,"-59hard/-22195soft"
5328,"-59hard/-22186soft"
5464,"-57hard/-22177soft"
6152,"-56hard/-22184soft"
6216,"-56hard/-22180soft"
6576,"-56hard/-22179soft"
6703,"-55hard/-22492soft"
6899,"-55hard/-22487soft"
7014,"-55hard/-22477soft"
7117,"-55hard/-22474soft"
7264,"-54hard/-22483soft"
7389,"-52hard/-22787soft"
7506,"-51hard/-22595soft"
7662,"-49hard/-22612soft"
7819,"-49hard/-22606soft"
7974,"-49hard/-22600soft"
7990,"-49hard/-22597soft"
8128,"-48hard/-22601soft"
8302,"-47hard/-22610soft"
8490,"-46hard/-22603soft"
8643,"-45hard/-22619soft"
8737,"-45hard/-22618soft"
8819,"-45hard/-22613soft"
8873,"-45hard/-22592soft"
9057,"-45hard/-22590soft"
9332,"-44hard/-22588soft"
9468,"-44hard/-22584soft"
9612,"-44hard/-22579soft"
10000,"-44hard/-22574soft"
