"timeMillisSpent","score"
105,"-20hard/-4839soft"
145,"-19hard/-4839soft"
161,"-19hard/-4838soft"
171,"-19hard/-4836soft"
286,"-18hard/-4837soft"
322,"-16hard/-4840soft"
344,"-15hard/-4841soft"
383,"-15hard/-4840soft"
439,"-13hard/-5398soft"
450,"-13hard/-5081soft"
622,"-10hard/-5409soft"
628,"-9hard/-5396soft"
674,"-9hard/-5393soft"
759,"-9hard/-5391soft"
787,"-9hard/-5389soft"
809,"-9hard/-5388soft"
822,"-9hard/-5379soft"
953,"-8hard/-5419soft"
958,"-8hard/-5409soft"
1064,"-8hard/-5394soft"
1078,"-8hard/-5393soft"
1097,"-8hard/-5389soft"
1163,"-8hard/-5078soft"
1274,"-7hard/-5091soft"
1373,"-5hard/-5426soft"
1421,"-5hard/-5419soft"
1438,"-5hard/-5416soft"
1440,"-5hard/-5410soft"
1544,"-5hard/-5406soft"
1558,"-5hard/-5405soft"
1566,"-5hard/-5163soft"
1567,"-5hard/-5158soft"
1631,"-4hard/-5167soft"
1638,"-4hard/-5166soft"
1656,"-4hard/-5159soft"
1666,"-4hard/-5157soft"
1910,"-4hard/-5156soft"
1923,"-4hard/-5154soft"
1929,"-4hard/-5153soft"
1966,"-4hard/-5147soft"
1988,"-4hard/-5135soft"
1995,"-4hard/-5124soft"
2082,"-4hard/-5122soft"
2100,"-4hard/-5121soft"
2119,"-4hard/-5114soft"
2162,"-2hard/-4880soft"
2173,"-2hard/-4877soft"
2193,"-2hard/-4876soft"
2194,"-2hard/-4867soft"
2824,"-1hard/-4891soft"
2847,"-1hard/-4887soft"
2879,"-1hard/-4877soft"
2883,"-1hard/-4876soft"
3020,"-1hard/-4873soft"
3027,"-1hard/-4872soft"
3051,"-1hard/-4864soft"
3063,"-1hard/-4859soft"
3113,"0hard/-5198soft"
3119,"0hard/-5196soft"
3169,"0hard/-5193soft"
3179,"0hard/-5191soft"
3244,"0hard/-4895soft"
3260,"0hard/-4888soft"
3274,"0hard/-4885soft"
3292,"0hard/-4878soft"
3311,"0hard/-4871soft"
3324,"0hard/-4870soft"
3327,"0hard/-4869soft"
3464,"0hard/-4865soft"
3537,"0hard/-4860soft"
3550,"0hard/-4856soft"
3562,"0hard/-4855soft"
3568,"0hard/-4853soft"
3571,"0hard/-4852soft"
3600,"0hard/-4849soft"
3664,"0hard/-4848soft"
3680,"0hard/-4847soft"
3698,"0hard/-4843soft"
3709,"0hard/-4831soft"
3718,"0hard/-4827soft"
3768,"0hard/-4826soft"
3819,"0hard/-4825soft"
3837,"0hard/-4824soft"
3849,"0hard/-4820soft"
5553,"0hard/-4819soft"
5571,"0hard/-4818soft"
5590,"0hard/-4816soft"
5636,"0hard/-4809soft"
5672,"0hard/-4806soft"
7501,"0hard/-4804soft"
7782,"0hard/-4494soft"
7788,"0hard/-4493soft"
7847,"0hard/-4491soft"
7876,"0hard/-4490soft"
7897,"0hard/-4487soft"
8359,"0hard/-4484soft"
8379,"0hard/-4481soft"
8880,"0hard/-4480soft"
8889,"0hard/-4478soft"
9464,"0hard/-4476soft"
9623,"0hard/-4475soft"
9656,"0hard/-4474soft"
