"timeMillisSpent","score"
94,"-20hard/-4839soft"
148,"-18hard/-5164soft"
269,"-17hard/-5195soft"
287,"-15hard/-5194soft"
1393,"-15hard/-5082soft"
1423,"-14hard/-5078soft"
1438,"-13hard/-5091soft"
1454,"-13hard/-5090soft"
1467,"-13hard/-5085soft"
1483,"-13hard/-5084soft"
2521,"-13hard/-5020soft"
2537,"-13hard/-5012soft"
2551,"-13hard/-5009soft"
2567,"-13hard/-5005soft"
2582,"-13hard/-5004soft"
2758,"-12hard/-5352soft"
2774,"-12hard/-5345soft"
2790,"-6hard/-5645soft"
2806,"-5hard/-5658soft"
2919,"-5hard/-5657soft"
2936,"-5hard/-5655soft"
2954,"-5hard/-5654soft"
2998,"-4hard/-5637soft"
3019,"-4hard/-5625soft"
3035,"-4hard/-5623soft"
3052,"-4hard/-5620soft"
3087,"-4hard/-5611soft"
3132,"-2hard/-5756soft"
3250,"-2hard/-5754soft"
3296,"-2hard/-5752soft"
3324,"-2hard/-5740soft"
3344,"-2hard/-5736soft"
3679,"-2hard/-5733soft"
3695,"-2hard/-5732soft"
3712,"-2hard/-5731soft"
3735,"-2hard/-5729soft"
4869,"-1hard/-5763soft"
4882,"-1hard/-5758soft"
4895,"-1hard/-5741soft"
4908,"-1hard/-5740soft"
4947,"-1hard/-5738soft"
5862,"0hard/-5752soft"
5876,"0hard/-5745soft"
5915,"0hard/-5434soft"
5931,"0hard/-5431soft"
5961,"0hard/-5430soft"
5973,"0hard/-5426soft"
5985,"0hard/-5416soft"
5999,"0hard/-5411soft"
