"timeMillisSpent","score"
23,"-9hard/-2503soft"
489,"-5hard/-2499soft"
515,"-4hard/-2493soft"
542,"-4hard/-2491soft"
613,"-4hard/-2487soft"
652,"-4hard/-2483soft"
720,"-4hard/-2480soft"
744,"-3hard/-2332soft"
767,"-3hard/-2323soft"
788,"-2hard/-2643soft"
818,"-2hard/-2642soft"
851,"-2hard/-2637soft"
880,"-2hard/-2635soft"
930,"-2hard/-2634soft"
964,"-2hard/-2628soft"
994,"-2hard/-2624soft"
1037,"-1hard/-2614soft"
1061,"-1hard/-2607soft"
1082,"-1hard/-2606soft"
1102,"-1hard/-2604soft"
1126,"-1hard/-2603soft"
1144,"0hard/-2586soft"
1168,"0hard/-2585soft"
1190,"0hard/-2271soft"
1260,"0hard/-2270soft"
1284,"0hard/-2262soft"
1303,"0hard/-2260soft"
1475,"0hard/-2258soft"
1494,"0hard/-2253soft"
1544,"0hard/-2252soft"
1571,"0hard/-2247soft"
1650,"0hard/-2246soft"
1746,"0hard/-2245soft"
1872,"0hard/-2238soft"
1961,"0hard/-2237soft"
2173,"0hard/-2235soft"
2289,"0hard/-2234soft"
2333,"0hard/-2233soft"
2381,"0hard/-2230soft"
2431,"0hard/-2227soft"
3046,"0hard/-2222soft"
3115,"0hard/-2221soft"
3177,"0hard/-2220soft"
3202,"0hard/-2219soft"
